homeinsurance,hotelsaccommodations,energyutilities,homeimprovement,haircare,homefurnishings,automotiveindustry,health,footwear,groceryfoodretailers,undergarments,tobaccoproducts,nonalcoholicbeverages,entertainmentindustry,computerselectronics,socialservices,mobilewireless,bookretailers,ticketsales,vehicleshopping,electricity,facebodycare,computervideogames,autoinsurance,homegarden,retirementpension,oilgas,apparel,internettelecom,vehiclebrands,homefinancing,homeappliances,womensclothing,childrensclothing,homemakinginteriordecor,realestate,fooddrink,newspapers,movies,beautyfitness,mensclothing,wastemanagement,realestateagencies,healthinsurance,drugsmedications,chemicalsindustry,medicalfacilitiesservices,restaurants,date,consumption,income,michigan_index,tbill,cci,smp500
51,35,51,46,47,45,28,53,42,45,45,42,49,41,37,70,65,37,46,44,56,42,53,43,44,61,41,48,70,43,43,51,50,44,48,49,50,59,60,62,42,56,38,51,48,40,62,45,01jan2010,-.11904,12860.097,74.400002,.059999999,98.431084,1073.87
53,36,55,45,47,44,30,55,42,44,45,42,49,48,37,68,63,32,49,47,61,44,51,42,46,60,41,49,69,46,43,49,54,46,46,49,47,58,60,63,43,57,38,51,50,45,64,46,01feb2010,.56976998,12852.303,73.599998,.11,98.485237,1104.49
54,37,54,46,46,41,30,57,41,43,42,43,49,48,36,71,63,30,54,45,57,43,49,44,47,63,43,47,69,45,43,46,58,45,38,49,47,58,57,62,44,58,40,54,50,45,65,43,01mar2010,1.44075,12892.933,73.599998,.15000001,98.482201,1169.4301
54,37,58,47,50,40,32,56,43,43,40,44,50,30,36,67,65,29,57,44,56,43,47,42,49,63,47,48,69,46,42,47,60,40,38,49,47,59,56,63,49,67,40,49,49,46,65,43,01apr2010,1.7332,12998.264,72.199997,.16,98.46212,1186.6899
53,36,58,47,49,38,26,52,40,42,40,42,49,30,34,60,63,30,53,42,53,44,48,39,48,47,59,45,66,44,37,44,57,36,39,47,45,56,59,62,46,60,39,44,45,42,59,42,01may2010,1.76556,13107.196,73.599998,.16,98.460876,1089.41
55,39,60,48,45,38,25,50,38,43,39,42,47,30,34,67,75,31,57,43,53,43,51,43,47,49,66,45,71,43,40,45,55,35,37,48,44,58,57,60,45,59,41,48,45,42,60,43,01jun2010,2.02458,13137.355,76,.12,98.36747,1030.71
56,44,57,50,52,40,26,55,41,49,43,49,52,33,36,76,94,35,65,47,57,47,53,47,50,48,54,47,82,50,46,49,54,41,40,53,53,57,66,66,45,60,41,48,52,41,63,53,01jul2010,1.91523,13176.118,67.800003,.16,98.087921,1101.6
59,40,54,48,52,41,29,56,48,49,42,47,52,35,37,66,100,41,62,47,61,47,51,45,47,48,46,50,84,51,49,47,56,46,41,52,53,59,60,65,45,56,41,50,53,41,65,53,01aug2010,1.28192,13224.463,68.900002,.16,97.917427,1049.33
53,36,53,43,48,39,26,56,44,46,38,47,50,34,36,62,89,35,57,43,58,45,48,42,44,45,45,51,78,48,43,44,55,49,41,44,51,59,55,61,45,56,37,49,52,45,65,49,01sep2010,2.36064,13222.624,68.199997,.15000001,97.8675,1141.2
51,33,52,43,49,38,26,55,48,44,40,45,49,29,34,62,82,30,54,41,56,45,46,41,43,47,42,59,75,45,44,43,55,54,37,42,51,59,59,60,45,52,34,47,51,43,62,49,01oct2010,2.5043199,13247.875,67.699997,.13,97.964233,1183.26
49,30,50,44,47,41,32,55,52,50,45,44,54,30,35,62,82,33,51,40,53,46,49,38,44,46,42,54,75,44,41,51,55,51,40,38,56,55,58,61,50,53,32,47,50,40,61,46,01nov2010,2.97346,13279.581,71.599998,.14,98.216927,1180.55
48,31,48,42,48,39,25,51,64,53,56,44,56,31,37,65,88,46,54,41,53,50,55,37,44,49,42,62,77,44,39,54,57,51,39,37,58,55,63,63,60,50,30,45,50,36,56,49,01dec2010,2.5538001,13374.156,74.5,.14,98.463272,1257.64
59,40,59,54,59,54,28,65,58,55,57,56,68,54,38,79,91,44,54,52,61,55,55,51,55,55,49,63,84,54,54,59,63,54,67,56,68,57,73,80,58,67,36,57,62,43,73,66,01jan2011,2.8184299,13541.211,74.199997,.15000001,98.569603,1286.12
60,40,62,53,66,52,30,67,57,53,55,55,64,77,39,74,89,36,56,55,82,57,51,53,54,56,53,64,83,56,54,53,68,54,55,55,68,56,69,79,56,61,37,53,62,47,73,67,01feb2011,2.5504,13576.031,77.5,.13,98.521423,1327.22
57,42,69,55,64,48,30,67,58,53,50,58,64,42,39,70,85,33,62,55,65,56,50,50,54,55,53,62,80,57,53,51,72,59,46,56,66,55,66,77,57,64,39,55,63,48,77,66,01mar2011,2.4507301,13540.028,67.5,.1,98.282211,1325.83
60,41,67,57,70,47,31,68,58,61,53,59,66,37,38,72,84,33,69,55,66,58,56,51,59,57,54,64,81,57,53,51,80,56,44,58,69,56,69,80,68,70,42,52,64,50,73,68,01apr2011,2.1824701,13516.405,69.800003,.059999999,98.224854,1363.61
60,43,61,57,64,45,27,63,55,64,49,56,67,34,37,69,80,33,63,53,63,59,54,49,60,41,50,61,78,56,51,51,75,47,45,57,65,56,69,79,66,69,40,49,60,47,69,67,01may2011,1.9452,13505.003,74.300003,.039999999,98.209442,1345.2
62,46,61,59,67,45,27,64,52,67,51,60,67,36,37,68,84,33,66,53,63,58,55,54,58,42,50,59,82,56,55,51,71,45,42,60,66,55,68,80,65,66,42,52,60,46,74,71,01jun2011,1.93832,13572.943,71.5,.039999999,97.907707,1320.64
